Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,status
96.73125,50.83125,57.33125,-52.76875,-136.06875,34.83125,31.33125,50.93125,47.53125,12.03125,-16.06875,83.93125,87.93125,23.03125,-145.76875,-225.76875,1
94.9875,51.1875,56.7875,-52.5125,-141.5125,36.6875,34.3875,50.0875,46.4875,10.8875,-18.7125,82.3875,98.5875,20.9875,-148.1125,-222.6125,1
92.94375,52.54375,58.64375,-52.95625,-127.15625,30.34375,33.94375,46.54375,47.14375,13.64375,-21.45625,81.64375,92.24375,23.04375,-149.55625,-221.55625,1
92.4875,55.2875,62.5875,-50.9125,-134.3125,33.4875,33.1875,48.0875,47.3875,9.9875,-23.2125,80.6875,82.1875,31.0875,-146.3125,-221.7125,1
93.6875,56.9875,64.6875,-48.1125,-146.1125,38.1875,39.9875,51.7875,40.5875,-2.3125,-25.0125,78.5875,96.4875,31.7875,-149.8125,-221.4125,1
91.64375,53.24375,60.84375,-51.15625,-120.25625,37.24375,51.04375,47.64375,39.14375,-2.65625,-28.95625,74.64375,97.94375,29.04375,-154.25625,-225.15625,1
91.5625,50.6625,63.5625,-52.2375,-112.6375,37.2625,37.9625,44.6625,41.6625,9.1625,-29.8375,74.3625,93.1625,31.7625,-153.7375,-227.3375,1
94.33125,49.23125,67.53125,-49.86875,-116.86875,39.83125,34.73125,46.03125,41.63125,6.43125,-28.66875,74.23125,86.03125,35.73125,-153.16875,-227.16875,1
97.34375,48.94375,71.54375,-47.95625,-113.55625,42.24375,42.44375,47.94375,40.34375,-7.35625,-27.45625,71.84375,69.74375,40.94375,-150.35625,-226.65625,1
97.0375,45.6375,69.3375,-51.7625,-123.1625,38.2375,39.0375,45.1375,40.0375,1.0375,-28.2625,72.2375,87.4375,41.2375,-153.0625,-220.1625,1
101.43125,44.23125,72.33125,-53.46875,-135.76875,35.43125,41.63125,45.43125,44.43125,8.63125,-23.36875,74.13125,90.83125,31.03125,-151.76875,-225.16875,1
105.0375,44.2375,76.1375,-53.7625,-138.2625,36.9375,43.9375,43.6375,41.4375,-0.3625,-21.5625,72.6375,103.0375,30.8375,-150.9625,-232.9625,1
104.4125,43.5125,76.1125,-55.4875,-93.8875,34.8125,37.4125,41.5125,36.8125,-10.2875,-22.1875,69.4125,95.1125,32.5125,-153.3875,-236.3875,1
108.80625,44.10625,79.70625,-55.69375,-100.59375,28.10625,40.80625,42.20625,39.00625,-7.19375,-17.79375,69.40625,85.00625,31.00625,-149.99375,-236.89375,1
111.14375,43.14375,79.24375,-55.65625,-88.85625,29.54375,48.34375,42.14375,40.34375,-2.95625,-15.05625,68.14375,64.04375,25.34375,-149.75625,-239.15625,1
109.4875,40.2875,77.2875,-58.9125,-89.5125,24.0875,53.4875,38.4875,36.6875,0.9875,-15.6125,64.8875,99.9875,14.2875,-153.7125,-242.2125,1
113.0125,38.7125,78.9125,-59.5875,-89.8875,22.1125,50.3125,40.0125,35.1125,-8.9875,-13.1875,63.2125,104.2125,23.5125,-152.2875,-245.1875,1
116.95,37.55,79.15,-59.05,-100.15,28.25,47.95,40.95,37.55,-10.45,-9.05,63.55,102.75,19.25,-149.65,-245.55,1
120.41875,38.21875,80.31875,-59.78125,-111.28125,21.71875,53.71875,41.61875,38.01875,-10.48125,-5.78125,64.01875,104.81875,16.11875,-148.08125,-243.58125,1
118.4875,39.4875,77.8875,-60.2125,-116.4125,24.7875,56.5875,43.1875,37.6875,-10.5125,-4.5125,64.5875,101.8875,19.4875,-147.9125,-244.5125,1
119.125,42.425,77.025,-62.475,-115.275,18.325,54.925,39.425,38.925,-6.175,-0.575,69.525,92.025,19.325,-146.275,-240.275,1
